name,image,description
Water,https://upload.wikimedia.org/wikipedia/commons/f/fa/Water-3D-balls-A.png, "Water is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms."
Sodium Chloride,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/NaCl_bonds.svg/500px-NaCl_bonds.svg.png,"Sodium chloride, commonly known as salt, is an ionic compound with the chemical formula NaCl, representing a 1:1 ratio of sodium and chloride ions."
Carbon Dioxide,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Carbon_dioxide_3D_ball.png/250px-Carbon_dioxide_3D_ball.png,"Carbon dioxide is a colorless gas with a density about 53% higher than that of dry air. Carbon dioxide molecules consist of a carbon atom covalently double bonded to two oxygen atoms."
Methane,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Methane-CRC-MW-3D-balls.png/250px-Methane-CRC-MW-3D-balls.png,"Methane is a chemical compound with the chemical formula CH₄. It is a group-14 hydride and the simplest alkane, and is the main constituent of natural gas."
Ammonia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ammonia-3D-balls-A.png/250px-Ammonia-3D-balls-A.png,"Ammonia is a compound of nitrogen and hydrogen with the formula NH₃. A stable binary hydride, and the simplest pnictogen hydride, ammonia is a colourless gas with a characteristic pungent smell."
Glucose,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Alpha-D-Glucopyranose.svg/240px-Alpha-D-Glucopyranose.svg.png,"Glucose is a simple sugar with the molecular formula C₆H₁₂O₆. Glucose is the most abundant monosaccharide, a subcategory of carbohydrates."
Ethanol,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ethanol-3D-balls.png,"Ethanol is a chemical compound, a simple alcohol with the chemical formula C₂H₆O. Its formula can be also written as CH₃−CH₂−OH or C₂H₅OH."
Caffeine,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Caffeine_structure.svg/500px-Caffeine_structure.svg.png,"Caffeine is a central nervous system stimulant of the methylxanthine class. It is the world's most widely consumed psychoactive drug."
Aspirin,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Aspirin-skeletal.svg/250px-Aspirin-skeletal.svg.png,"Aspirin, also known as acetylsalicylic acid, is a medication used to reduce pain, fever, or inflammation. Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever."
Benzene,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Benzene-3D-vdW.png/330px-Benzene-3D-vdW.png,"Benzene is an organic chemical compound with the molecular formula C₆H₆. The benzene molecule is composed of six carbon atoms joined in a planar ring with one hydrogen atom attached to each."
Acetone,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Acetone-3D-balls.png/330px-Acetone-3D-balls.png,"Acetone, or propanone, is an organic compound with the formula (CH₃)₂CO. It is the simplest and smallest ketone. It is a colorless, highly volatile and flammable liquid with a characteristic pungent odour."
Hydrogen Peroxide,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Hydrogen-peroxide-3D-balls.png/250px-Hydrogen-peroxide-3D-balls.png,"Hydrogen peroxide is a chemical compound with the formula H₂O₂. In its pure form, it is a very pale blue liquid, slightly more viscous than water."
Sulfuric Acid,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Sulfuric-acid-Givan-et-al-1999-3D-balls.png/250px-Sulfuric-acid-Givan-et-al-1999-3D-balls.png,"Sulfuric acid is a mineral acid composed of the elements sulfur, oxygen and hydrogen, with molecular formula H₂SO₄. It is a colorless, odorless and viscous liquid that is miscible with water."
Acetic Acid,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Essigs%C3%A4ure_-_Acetic_acid.svg/220px-Essigs%C3%A4ure_-_Acetic_acid.svg.png,"Acetic acid, systematically named ethanoic acid, is an acidic, colourless liquid and organic compound with the chemical formula CH₃COOH."
Formaldehyde,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Formaldehyde-3D-balls-A.png/250px-Formaldehyde-3D-balls-A.png,"Formaldehyde is a naturally occurring organic compound with the formula CH₂O. It is the simplest of the aldehydes. The common name of this substance comes from its similarity and relation to formic acid."
Propane,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Propane-3D-balls-B.png/250px-Propane-3D-balls-B.png,"Propane is a three-carbon alkane with the molecular formula C₃H₈. It is a gas at standard temperature and pressure, but compressible to a transportable liquid."
